machine,model_number,evidence
sb900-2019,590319,own-filename
sb900-2020,590320,card-confirmed
sb900-2023,590322,card-confirmed
sc200-2016,520516,fp-date
sc200-2019,520517,sibling-pairing
sr500-2016,500911,year-in-name
sr550-2023,555922,card-confirmed
st800dr3,808049,db-names-the-machine
st800fi,808039,db-names-the-machine
st800ft,808019,db-names-the-machine
st90-2023,590822,own-filename
tt8-2016,588816,year-in-name
tt8-2016-ac,588816,year-in-name
tt8-2019,588818,year-in-name
tt8-2019-ac,588818,year-in-name
tt8-2023,588822,own-filename
xbr25-2007,251117,fp-date
xbr25-2016,251115,year-in-name
xbr25-2023,251123,own-manual-text
xbr55-2007,551117,fp-date
xbr55-2016,551115,year-in-name
xbr55-2019,551118,year-in-name
xbr55-2023,551123 551223,own-filename
xbr95-2016,951115,year-in-name
xbr95-2023,951123,own-manual-text
xbu55-2016,551215,year-in-name
xbu55-2019,551218,year-in-name
xbu55-2023,552123,own-manual-text
xe100-2007,100007,only-candidate
xe150-2005,150005,only-candidate
xe195-2016,195015,year-in-name
xe200-2007,200007,only-candidate
xe295-2016,295015,year-in-name
xe300-2007,300007,only-candidate
xe350-2005,350005,only-candidate
xe395-2010,395010,fp-date
xe395-2016,395015,year-in-name
xe395-2023,395023,own-manual-text
xe400-2007,400007,fp-date
xe500-2007,500007,fp-date
xe550-2005,550005,only-candidate
xe795-2016,795015,year-in-name
xe795-2023,795023,own-manual-text
xe895-2016,895015,fp-date
xg400-2016,400415,year-in-name
xic600-2018,600377,only-candidate
xic600-2021,600377,own-filename
xrw600-2019,600976,only-candidate
xrw600-2021,600976,only-candidate
xs895-2018,895677,only-candidate
xt175-2007,175807,only-candidate
xt185-2015,185815,own-filename
xt185-2023,185823,own-manual-text
xt275-2007,275807,only-candidate
xt285-2015,285815,own-filename
xt285-2023,285823,own-manual-text
xt375-2007,375807,only-candidate
xt385-2015,385815,own-filename
xt385-2023,385823,own-manual-text
xt475-2007,475807,only-candidate
xt485ent-2023,485850,own-filename
xt675-2007,675807,only-candidate
xt685-2015,685815,own-filename
xt685-2023,685823,own-manual-text
xt685ent-2023,685523,own-manual-text
