path	verdict	model_ids	evidence	confidence
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE850/CE800 (XE890B-AE10M-02) - Service Manual.pdf	existing	ce800-2013	Cover p.1 "XE890B-AE10M Service Manual", 65 pages, PDF created 2017-09-29; p.8 program keys "MANUAL, PROGRAM, CUSTOM, FIT-TEST, HRC1, HRC2" match the CE800 2013 OM (Fit-Test button, Custom, Heart Rate programs) and not the 2021 OM (HIIT, Constant Power). The MODEL table also lists a "CE800 2016" (800045) with no OM on disk; the B-suffix code and 2017 date may be that revision.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE850/CE850 Service Manual.pdf	existing	ce850-2020	Cover p.1 "CE850(2020) Service Manual" (10 repeats), PDF created 2021-11-19; ce850-2020 is literally the "2020 model" OM (CE850_OwnersManual_2020_20211108); ce850-2022 is its reprint.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE850/CE850, 2016 (XE898-SE011) Service  Manual.pdf	existing	ce850-2016	Cover p.1 "XE898-SE011 Service Manual", 105 pages, PDF created 2017-09-13; matrix console with CUSTOM1/CUSTOM2/HRC1/HRC2 keys; ce850-2016 (OM revision 2016-02-03, part 850045) is the 2016 CE850 and the 2020 generation has its own manual (doc 46).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE900/CE900 (SE8800-SE026) Service Manual.pdf	existing	ce900-2021	Cover p.1 "SE8800-SE026 Service Manual", PDF created 2018-04-11; generator elliptical, 40 levels, EMS, no Bluetooth. The only pre-New-Black CE900 id is ce900-2021 (CE900_20211108 OM, whose body like the CR900/CU900 2018 manuals predates its warranty page).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/CE900ENT/CE900ENT Service Manual.pdf	new-machine	ce900ent-2021	Cover p.1 "CE900 ENT Service Manual", 72 pages, PDF created 2021-11-24; Android/HDMI ENT console, 40% phrase overlap with the CU900ENT service manual. No CE900ENT id and no CE900ENT owner manual on disk; the year is the PDF creation date, matching its sibling cr900ent-2021 (OM Rev 11.08.2021). ce900ent without a year, as cu900ent/ct900ent, is the alternative.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE100-200-300-400-500/XE100-200-300-400-500.pdf	multi-machine	xe100-2007,xe200-2007,xe300-2007,xe400-2007,xe500-2007	Cover p.1 "SERVICE MANUAL XE100 XE200 XE300 XE400 XE500", 38-page Spirit Manufacturing Inc. dealer manual, PrimoPDF 2008-07-11, no printed date. Its p.11 warranty table (XE100-XE200 5 years, XE300-XE400-XE500 10 years) matches the XE100/200/300 OM effective October 15 2007. xe400 and xe500 have no id; -2007 places them with their siblings.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE195/XE195, 2016 (XE509S-SE021) Service manual.pdf	existing	xe195-2019	Cover p.1 "XE509S-SE021-01 Service Manual", PDF created 2017-04-06; non-A code = pre-2023 XE195. xe195-2019 (OM Rev 02.04.2019); xe195-2021 is the 82.8% reprint of the same machine.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE295/XE295 (XE519S-SE020 2016) Service Manual.pdf	existing	xe295-2019	Cover p.1 "XE519S-SE020-01 Service Manual", PDF created 2017-08-17; 93.6% similar to the XE195 manual (doc 51). xe295-2019 (OM Rev 02.04.2019); xe295-2021 is its reprint.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE395/XE395 Service Manual.pdf	existing	xe395-2018	Cover p.1 "XE395 Service Manual", 98 pages, PDF created 2021-11-23; 99.5% word-identical to doc 54 with "XE539S-SE019-01" replaced by "XE395" in the headings. A re-export of the same document, ingest only one.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE395/XE395, 2016 (XE539S-SE019) Service Manual.pdf	existing	xe395-2018	Cover p.1 "XE539S-SE019-01 Service Manual", 98 pages, PDF created 2017-08-17. Phrase overlap 6.5% with the XE395 2018 OM (Rev 08.22.2018) against 5.4% for 2010 and 1.5% for 2023; the 2023 XE395 uses the A-suffix codes.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE395ENT/XE395ENT_XE539S-SE025-01 Service Manual 2021.pdf	existing	xe395ent-2021	Cover p.1 "XE539S-SE025-01 Service Manual", PDF created 2021-08-04 (filename 2021); ENT console on the XE539S elliptical; the only XE395ENT id (OM Feb 25 2021).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE795/XE795 (795023) Service Manual.pdf	existing	xe795-2023	Cover p.1 "SERVICE MANUAL XE795(2023) XE815A-SE048 Elliptical Trainer"; filename SKU 795023 = xe795-2023 in model-numbers.csv.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XE795/XE795 2016 (XE815-SE024) Service Manual.pdf	existing	xe795-2018	Cover p.1 "XE815-SE024-01 Service Manual", PDF created 2017-08-27; non-A code = pre-2023 XE795 (2023 is XE815A-SE048, doc 56). xe795-2018 (OM Aug 22 2018); the two 2021 printings are 87% reprints of the same machine.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Ellipticals/XG400/XG400, 2016 (SE551-SE023) Service Manual.pdf	existing	xg400-2019	Cover p.1 "SE551-SE023-01 Service Manual", PDF created 2017-08-17; xg400-2019 (OM Rev 02.04.2019) and xg400-2021 are the only XG400 ids and are 84.8% the same text.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/MEDICAL/8.5S-785545 _MS2000-SB036-01_Service Manual.pdf	existing	85s-2025	Cover p.1 "8.5S-785545 (MS2000-SB036-01) Service Manual", PDF created 2026-05-19; the SKU 785545 is printed on the cover and belongs to 85s-2025 (own-manual-text in model-numbers.csv). Not the 8.5S-Fit.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Miscellaneous/Comm & Med - Cardio Warranty Sheet_032019.pdf	not-a-manual		Two-page "SPIRIT FITNESS CARDIO WARRANTY" sheet, back page "Revision: 03.07.2019"; warranty terms for CT900ENT/CT900/CE900ENT/CR900ENT/CU900ENT/CE900/CR900/CU900/CIC800/AB900/MS350/MS300/MR100/MU100/MT200/CT850ENT/CT850/CT800/XT685/CE800ENT/CE850/CR800ENT/CU800ENT/CE800/CR800/CU800. A warranty sheet.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Miscellaneous/Comm & Med - Power Requirements Sheet_032019.pdf	not-a-manual		Two-page "SPIRIT FITNESS POWER REQUIREMENTS" sheet, back page "Revision: 03.06.2019"; 120V/20A vs 15A per treadmill and ENT console, NEMA 5-20 plug rules. A power-requirements sheet.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/CR1000/CR1000-2023 SR8880-SB028 service manual.pdf	new-machine	cr1000-2023	Cover p.1 "SERVICE MANUAL CR1000(2023) SR8880-SB028 ENT Recumbent Bike", 40 pages, PDF created 2023-05-15. Filed under Rowers but it is a bike. No CR1000 id in kb.yaml.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/CRW800/CRW800 Service Manual 800940.pdf	existing	crw800-2021	Cover p.1 "CRW800 Service Manual", PDF created 2021-11-24; generator controller and generator-motor replacement sections. Filename SKU 800940 = "Spirit CRW800 2020" in the CustService MODEL table (800945 = 2016, 800925 = 2024); the CRW800 2021 OM parts list carries the Generator/Brake Controller. crw800-2021 is that generation.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/CRW800/CRW800-YR001-01_Service Manual.pdf	new-machine	crw800-2016	Cover p.1 "CW800-YR001 Service Manual", 70 pages, PDF created 2017-10-12; battery console, no generator (doc 63 has one), 89.5% similar to the XRW600 DW400-YR002 manual. The MODEL table names "Spirit CRW800 2016" (800945), for which no OM is on disk; the Sole SR500 2016 shares the CW800A-YR001 code. Year from the MODEL table name, not the document.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/CRW800H2O/CRW800H2O Service Manual.pdf	already-ingested	crw800h2o	Same filename as manifest origin_uri of spirit-rower-crw800h2o-service-manual; 100% of its 8-word phrases are in that text.md.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/CRW900/CRW900 Service Manual.pdf	existing	crw900-2021	Cover p.1 "CRW900 Water Rower Service Manual", 18 pages but only 452 native words (speed-sensor, handle-belt, console troubleshooting; the rest is pictures - OCR at extraction), PDF created 2020-03-10; the only CRW900 id (OM (c) 2019 back cover, warranty Oct 22 2021).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/ERG160/ERG160__service manual_V1.0.pdf	new-machine	erg160-2025	Cover p.1 "SERVICE MANUAL ERG160 Rower", 15 pages, no printed date; PDF created 2025-08-25, filename V1.0. ERG is the XTERRA rower line (Xterra Owners Manuals/Rowers/ERG220, ERG400, ERG700), not Spirit or Sole; kb.yaml has no xterra brand.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/ERG180/ERG180__service manual_V1.0.pdf	new-machine	erg180-2025	Cover p.1 "SERVICE MANUAL ERG180"; p.15 "Version 1.0 2025/7/31: Initial release". XTERRA rower line, no xterra brand in kb.yaml.	unsure
