file	pages	created	words	stamp	copyright	effective	cover
Xterra Owners Manuals/Rowers/ERG650W_OM_20210118.pdf	24	2021 Jan 18	3626		©2021	Effective March 04, 2020	FITNESS | ERG650W Water Rowing Machine | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIR
Xterra Owners Manuals/Rowers/ERG700_OM_20220131.pdf	28	2022 Feb  1	6338		©2020	Effective January 31, 2022	FITNESS | ERG700 ROWER | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE 
Xterra Owners Manuals/Strength/ADB12.5PR_OM_20220913.pdf	12	2022 Sep 13	2090		©2022	Effective June 16, 2022	12.5 LB Adjustable Dumbbell Pair | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANU
Xterra Owners Manuals/Strength/ADB25_OM_20220913.pdf	12	2022 Sep 13	2087		©2022	Effective June 16, 2022	25 LB Adjustable Dumbbell | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFO
Xterra Owners Manuals/Strength/ADB55_OM_20220913.pdf	12	2022 Sep 13	2072		©2022	Effective June 16, 2022	55 LB Adjustable Dumbbell | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFO
Xterra Owners Manuals/Strength/DBSTAND_OM_20220913.pdf	16	2022 Sep 13	2110		©2022	Effective June 16, 2022	Dumbbell Stand | OWNER’S MANUAL | *Dumbbells and cradles are sold separately. | PLEASE CAR
Xterra Owners Manuals/Treadmills/TR1400_OM_20230509.pdf	44	2023 Aug 30	8815	Revision: 05	©2023	Effective March 08, 2023	T3 | 紙箱線條圖(無緩衝座) | Online Support | If you require assistance or are | experiencing issues
Xterra Owners Manuals/Treadmills/TR150_OM_20210413.pdf	24	2021 Apr 14	5013	Revision: 04.13.2021;Revision: 04.13.2021	© 2021	Effective March 13, 2021	FITNESS | TR150 TREADMILL | Owner’s Manual | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFO
Xterra Owners Manuals/Treadmills/TR200_OM_20210413.pdf	24	2021 Apr 14	5135	Revision: 04.13.2021;Revision: 04.13.2021	© 2021	Effective March 13, 2021	FITNESS | GT6C | 紙箱線條圖 | TR200 TREADMILL | Owner’s Manual | PLEASE CAREFULLY READ THIS ENT
Xterra Owners Manuals/Treadmills/TR260_OM_20231208.pdf	28	2023 Dec 11	7144	Revision 4.0	©2022	Effective August 24, 2022	FITNESS | TR260 Treadmill | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFO
Xterra Owners Manuals/Treadmills/TR300_OM_20210413.pdf	26	2021 Apr 14	6986		©2021	Effective March 13, 2021	FITNESS | TR300 TREADMILL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFO
Xterra Owners Manuals/Treadmills/TR64_OM_20240607.pdf	28	2024 Jun  7	7798		©2024	Effective June 07, 2024	TR6.4 TREADMILL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERATI
Xterra Owners Manuals/Treadmills/TR65_OM_20230928.pdf	48	2023 Nov 30	10972	Revision: 09	©2023	Effective September 28, 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Treadmills/TR66_OM_20210413.pdf	32	2021 Apr 14	9886		©2021	Effective March 13, 2021	TR6.6 TREADMILL | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BEFORE OPERATI
Xterra Owners Manuals/Treadmills/TR75H_OwnersManual_20250522.pdf	52	2025 Aug 22	10879	Revision: 08	©2025	Effective May 29, 2025	lation | hed and the | our enjoyable | Online Support | If you require assistance or are |
Xterra Owners Manuals/Treadmills/TR75_OM_20240607.pdf	48	2024 Jun  7	11630	Revision: 06	©2024	Effective June 07 2024	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Treadmills/TR85_OM_20240607.pdf	48	2024 Jun  7	11636	Revision: 06	©2024	Effective June 07, 2024	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Treadmills/TR95H_OM_20240103.pdf	54	2024 Jan 31	11868	Revision: 01	©2023	Effective January 03, 2024	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Treadmills/TRX1000_OM_20210413.pdf	20	2021 Apr 14	5427	Revision 3.0	©2021	Effective March 13, 2021	FITNESS | TRX1000 Treadmill | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BE
Xterra Owners Manuals/Treadmills/TRX2500_OM_20240607.pdf	24	2024 Jun  7	6471		©2024	Effective June 07, 2024	FITNESS | TRX2500 Treadmill | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BE
Xterra Owners Manuals/Treadmills/TRX3500_OM_20240607.pdf	28	2024 Jun  7	7652		©2024	Effective June 07, 2024	FITNESS | TRX3500 Treadmill | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BE
Xterra Owners Manuals/Treadmills/TRX4500_OM_20240607.pdf	28	2024 Jun  7	8374		©2024	Effective June 07, 2024	FITNESS | TRX4500 Treadmill | OWNER’S MANUAL | PLEASE CAREFULLY READ THIS ENTIRE MANUAL BE
Xterra Owners Manuals/Treadmills/TRX5500_OM_20240320.pdf	44	2024 Mar 26	8764		©2024	Effective March 20, 2024	TRX5500 Treadmill | OWNER’S MANUAL | TRX5500_155810_OM_20240320 | PLEASE CAREFULLY READ TH
Xterra Owners Manuals/Treadmills/WS200_OM_20230808.pdf	39	2023 Nov  9	7183	Revision: 10	©2023	Effective August 07 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Owners Manuals/Treadmills/WS300_OM_20230808.pdf	39	2023 Nov  9	7170	Revision: 10	©2023	Effective August 07 2023	Online Support | If you require assistance or are | experiencing issues with your | XTERRA
Xterra Service Manuals/Bikes/AIR650 _165710_ SM.pdf	2		0				
Xterra Service Manuals/Bikes/FB160 Service Document.pdf	3	2019 Nov 26	206				∆ Nu-Sport Folding Bike # 116419 | 1. WARRANTY: | • Residential Use ONLY. | • 90 Days from
Xterra Service Manuals/Climber Steppers/SB120 #120319 Service Doc.pdf	4	2019 Dec 17	179				1 | ∆ WARRANTY: | Residential ONLY | Frame- 1 year | Parts- 1 year | Labor- None | ∆ Seria
Xterra Service Manuals/Rowers/ERG550W_ServiceManual20221124.pdf	20	2022 Nov 24	1215				ERG550 | SERVICE MANUAL | 目录/Catlog | 1.整机示意图/ERG550W Outlines | 2.电子表/Consle | 3.外盖/Chain
Xterra Service Manuals/Rowers/ERG600W Service Manual.pdf	22	2019 Dec  6	1996				ERG600W WATER ROWER | SERVICE MANUAL | Contents | 1. ERG600W Outlines | 2. Console | 3. Be
Xterra Service Manuals/Treadmills/GT90D-NT041_TRX5500_Service Manual.pdf	85	2021 Apr 11	4211				GT90D- NT041 | Service Manual | Service Manual | Table of Contents | 1. GT90D-NT041 Outlin
Xterra Service Manuals/Treadmills/TR150 (GT65 - NT014) Service Manual.pdf	50	2019 Jun 19	4030				GT65 - NT014 | Treadmill | Service Manual | -------------------------------------------Tab
Xterra Service Manuals/Treadmills/TR260_GT75A-NT050_Service manual.pdf	64	2022 Nov  1	5431				TR260 | Service Manual | Table of Contents | 1. Outlines .................................
Xterra Service Manuals/Treadmills/TR95H (JKEXER 337) service manual 09082024.pdf	17	2024 Sep  8	1576				TR95H (JKEXER 337) Service Manual | 1. Assembling sequence and precautions | 1-1. Front po
Xterra Service Manuals/Treadmills/TRX1400 (T3-NT053-01)  Service Manual.pdf	89	2023 Jul 30	7820				XTERRA | TRX1400 | T3-NT053-01 | Treadmill | Service Manual
Xterra Service Manuals/Treadmills/TRX2500 (GT90B-NT022) service manual.pdf	86	2018 Jul 12	6958				GT90B-NT022 | Treadmill Service | Manual | -------------------------------------------Tabl
Xterra Service Manuals/Treadmills/TRX3500 4500 (GT90CD - NT023 NT024) Service Manual.pdf	94	2019 May  6	5619				GT90C-NT023 | GT90D-NT024 | Treadmill Service | Manual | ---------------------------------
Xterra Service Manuals/Treadmills/XTERRA TR75H service manual_V1.0_20260127.pdf	17	2026 Jan 26	1874				XTERRA TR75H SERVICE MANUAL | Table of Content | 1. Assembling sequence and precautions   
Xterra Service Manuals/XTERRA APP QA EN.pdf	2	2018 Oct  8	315				XTERRA APP Q & A | Compatibility | iPhone 4S, 5, 5C, 5S,6 / 6 plus,6s / 6s plus,7 /7 plus 
